Salon Name,Address,Closing Time
Art-Visage,"Via Cattedrale 4, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Ayurveda Studio Nadis,"Via Luigi Canonica 12, 6900 Lugano"," Open by appointment
 – Closes today at 7:00 PM"
CR Lab Swiss,"Via Zurigo 38, 6900 Lugano"," Open
 – Closes today at 8:00 PM"
Estetica KAIROS,"Via Lisano 3, 6900 Massagno"," Open
 – Closes today at 9:00 PM"
Estetica Prisca,"Via Gerolamo Vegezzi 4, 6900 Lugano",
Farmacia della Posta,"Vicolo dei Conti 6, 6932 Breganzona"," Closed
 – Opens in an hour"
Fontana Sotheby's International Realty,"Via Giacomo Luvini 4, 6900 Lugano"," Open
 – Closes in 25 minutes"
Istituto Sanders,"Via Pretorio 11, 6900 Lugano"," Open by appointment
 – Closes today at 7:00 PM"
Linea Sana,"Via Pretorio 11, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
Lya Nails Studio,"Via Povrò 5, 6900 Massagno",
dr. med. Nikolic Nenad,"Viale dei Faggi 20, 6900 Lugano"," Open by appointment
 – Closes today at 5:30 PM"
Farmacia Contrada dei Patrizi Pregassona,"Via Ceresio 40, 6963 Pregassona"," Open
 – Closes today at 7:00 PM"
Animor Coiffure,"Stráda de Cité 2, 6968 Sonvico",
Lucienne 3,"Via alle Brughette 2, 6918 Figino"," Open
 – Closes today at 6:30 PM"
Salone Anymore,"Via Lucia 6, 6965 Cadro",
Beauty Nails di Manuela Meier,"Via Concordia 2, 6900 Lugano"," Open
 – Closes today at 4:00 PM"
Gravity United,"Via Madonnetta 15, 6900 Lugano",
Lotus Flower Beauty,"Via Cantonale 31, 6815 Melide"," Open
 – Closes today at 6:30 PM"
PharmaExpress - Farmacia nella Stazione di Lugano,"Piazzale della Stazione 1, 6900 Lugano"," Open
 – Closes today at 10:00 PM"
Swiss Pro Age Medical Services,"Viale dei Faggi 20, 6900 Lugano"," Open by appointment
 – Closes today at 5:30 PM"
Farmacia Contrada dei Patrizi Viganello,"Via Pazzalino 17, 6962 Viganello"," Open
 – Closes today at 7:00 PM"
ELODIE's Beauty & Hair,"Strada Regina 110A, 6982 Agno"," Open
 – Closes today at 9:00 PM"
Ceresa OTTICA,"Quartiere Maghetti 10, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
ZOPPIS HAIR STYLING SA,"Via Lugano 1, 6500 Bellinzona"," Open
 – Closes today at 5:00 PM"
Esco Shop SA,"Via Lugano 1, 6500 Bellinzona"," Open
 – Closes today at 5:00 PM"
Eric Willimann,"Via Lugano 1, 6988 Ponte Tresa",
Abitudini di donna,"Via Antonio Bezzola 2, 22061 Campione d'Italia"," Open by appointment
 – Closes today at 5:00 PM"
Cinquanta sfumature di Piezzi Sheila,"Al Croséll 2, 6673 Maggia"," Open
 – Closes today at 4:00 PM"
Salone Oasi,"Piazza colonnello Vicari 12, 6982 Agno",
Katia,"Via Vedeggio 1, 6928 Manno",
