qid,docid,docno,rank,score,query
1,417,417,294,-1.8080066056359774,Hairdresser Lugano
1,422,422,295,-1.8080066056359774,Hairdresser Lugano
1,441,441,296,-1.8080066056359774,Hairdresser Lugano
1,444,444,297,-1.8080066056359774,Hairdresser Lugano
1,453,453,298,-1.8080066056359774,Hairdresser Lugano
1,459,459,299,-1.8080066056359774,Hairdresser Lugano
1,478,478,300,-1.8080066056359774,Hairdresser Lugano
1,493,493,301,-1.8080066056359774,Hairdresser Lugano
1,499,499,302,-1.8080066056359774,Hairdresser Lugano
1,501,501,303,-1.8080066056359774,Hairdresser Lugano
1,516,516,304,-1.8080066056359774,Hairdresser Lugano
1,518,518,305,-1.8080066056359774,Hairdresser Lugano
1,528,528,306,-1.8080066056359774,Hairdresser Lugano
1,542,542,307,-1.8080066056359774,Hairdresser Lugano
1,543,543,308,-1.8080066056359774,Hairdresser Lugano
1,602,602,309,-1.8080066056359774,Hairdresser Lugano
1,624,624,310,-1.8080066056359774,Hairdresser Lugano
1,640,640,311,-1.8080066056359774,Hairdresser Lugano
1,650,650,312,-1.8080066056359774,Hairdresser Lugano
1,651,651,313,-1.8080066056359774,Hairdresser Lugano
1,654,654,314,-1.8080066056359774,Hairdresser Lugano
1,677,677,315,-1.8080066056359774,Hairdresser Lugano
1,742,742,316,-1.8080066056359774,Hairdresser Lugano
1,750,750,317,-1.8080066056359774,Hairdresser Lugano
1,752,752,318,-1.8080066056359774,Hairdresser Lugano
1,758,758,319,-1.8080066056359774,Hairdresser Lugano
1,789,789,320,-1.8080066056359774,Hairdresser Lugano
1,797,797,321,-1.8080066056359774,Hairdresser Lugano
1,813,813,322,-1.8080066056359774,Hairdresser Lugano
1,831,831,323,-1.8080066056359774,Hairdresser Lugano
1,862,862,324,-1.8080066056359774,Hairdresser Lugano
1,876,876,325,-1.8080066056359774,Hairdresser Lugano
1,895,895,326,-1.8080066056359774,Hairdresser Lugano
1,911,911,327,-1.8080066056359774,Hairdresser Lugano
1,916,916,328,-1.8080066056359774,Hairdresser Lugano
1,927,927,329,-1.8080066056359774,Hairdresser Lugano
1,934,934,330,-1.8080066056359774,Hairdresser Lugano
1,946,946,331,-1.8080066056359774,Hairdresser Lugano
1,953,953,332,-1.8080066056359774,Hairdresser Lugano
1,986,986,333,-1.8080066056359774,Hairdresser Lugano
1,1006,1006,334,-1.8080066056359774,Hairdresser Lugano
1,1024,1024,335,-1.8080066056359774,Hairdresser Lugano
1,1068,1068,336,-1.8080066056359774,Hairdresser Lugano
1,1072,1072,337,-1.8080066056359774,Hairdresser Lugano
1,1097,1097,338,-1.8080066056359774,Hairdresser Lugano
1,1117,1117,339,-1.8080066056359774,Hairdresser Lugano
1,1135,1135,340,-1.8080066056359774,Hairdresser Lugano
1,1145,1145,341,-1.8080066056359774,Hairdresser Lugano
1,1162,1162,342,-1.8080066056359774,Hairdresser Lugano
1,1190,1190,343,-1.8080066056359774,Hairdresser Lugano
1,1224,1224,344,-1.8080066056359774,Hairdresser Lugano
1,1244,1244,345,-1.8080066056359774,Hairdresser Lugano
1,1246,1246,346,-1.8080066056359774,Hairdresser Lugano
1,1281,1281,347,-1.8080066056359774,Hairdresser Lugano
1,1343,1343,348,-1.8080066056359774,Hairdresser Lugano
1,1347,1347,349,-1.8080066056359774,Hairdresser Lugano
1,1353,1353,350,-1.8080066056359774,Hairdresser Lugano
1,1355,1355,351,-1.8080066056359774,Hairdresser Lugano
1,1401,1401,352,-1.8080066056359774,Hairdresser Lugano
1,1407,1407,353,-1.8080066056359774,Hairdresser Lugano
1,1441,1441,354,-1.8080066056359774,Hairdresser Lugano
1,1453,1453,355,-1.8080066056359774,Hairdresser Lugano
1,1478,1478,356,-1.8080066056359774,Hairdresser Lugano
1,1485,1485,357,-1.8080066056359774,Hairdresser Lugano
1,1504,1504,358,-1.8080066056359774,Hairdresser Lugano
1,1541,1541,359,-1.8080066056359774,Hairdresser Lugano
1,1548,1548,360,-1.8080066056359774,Hairdresser Lugano
1,1568,1568,361,-1.8080066056359774,Hairdresser Lugano
1,1577,1577,362,-1.8080066056359774,Hairdresser Lugano
1,1581,1581,363,-1.8080066056359774,Hairdresser Lugano
1,1642,1642,364,-1.8080066056359774,Hairdresser Lugano
1,1646,1646,365,-1.8080066056359774,Hairdresser Lugano
1,1658,1658,366,-1.8080066056359774,Hairdresser Lugano
1,1661,1661,367,-1.8080066056359774,Hairdresser Lugano
1,1670,1670,368,-1.8080066056359774,Hairdresser Lugano
1,1682,1682,369,-1.8080066056359774,Hairdresser Lugano
1,1708,1708,370,-1.8080066056359774,Hairdresser Lugano
1,1712,1712,371,-1.8080066056359774,Hairdresser Lugano
1,1729,1729,372,-1.8080066056359774,Hairdresser Lugano
1,1736,1736,373,-1.8080066056359774,Hairdresser Lugano
1,1937,1937,374,-1.8080066056359774,Hairdresser Lugano
1,1939,1939,375,-1.8080066056359774,Hairdresser Lugano
1,2036,2036,376,-1.8080066056359774,Hairdresser Lugano
1,2178,2178,377,-1.8080066056359774,Hairdresser Lugano
1,2198,2198,378,-1.8080066056359774,Hairdresser Lugano
1,2254,2254,379,-1.8080066056359774,Hairdresser Lugano
1,2,2,380,-1.8596337803996825,Hairdresser Lugano
1,12,12,381,-1.8596337803996825,Hairdresser Lugano
1,52,52,382,-1.8596337803996825,Hairdresser Lugano
1,55,55,383,-1.8596337803996825,Hairdresser Lugano
1,57,57,384,-1.8596337803996825,Hairdresser Lugano
1,58,58,385,-1.8596337803996825,Hairdresser Lugano
1,59,59,386,-1.8596337803996825,Hairdresser Lugano
1,61,61,387,-1.8596337803996825,Hairdresser Lugano
1,73,73,388,-1.8596337803996825,Hairdresser Lugano
1,78,78,389,-1.8596337803996825,Hairdresser Lugano
1,89,89,390,-1.8596337803996825,Hairdresser Lugano
1,112,112,391,-1.8596337803996825,Hairdresser Lugano
1,139,139,392,-1.8596337803996825,Hairdresser Lugano
1,140,140,393,-1.8596337803996825,Hairdresser Lugano
1,158,158,394,-1.8596337803996825,Hairdresser Lugano
1,159,159,395,-1.8596337803996825,Hairdresser Lugano
1,160,160,396,-1.8596337803996825,Hairdresser Lugano
1,183,183,397,-1.8596337803996825,Hairdresser Lugano
1,188,188,398,-1.8596337803996825,Hairdresser Lugano
1,191,191,399,-1.8596337803996825,Hairdresser Lugano
1,194,194,400,-1.8596337803996825,Hairdresser Lugano
1,196,196,401,-1.8596337803996825,Hairdresser Lugano
1,241,241,402,-1.8596337803996825,Hairdresser Lugano
1,271,271,403,-1.8596337803996825,Hairdresser Lugano
1,272,272,404,-1.8596337803996825,Hairdresser Lugano
1,288,288,405,-1.8596337803996825,Hairdresser Lugano
1,291,291,406,-1.8596337803996825,Hairdresser Lugano
1,299,299,407,-1.8596337803996825,Hairdresser Lugano
1,322,322,408,-1.8596337803996825,Hairdresser Lugano
1,327,327,409,-1.8596337803996825,Hairdresser Lugano
1,335,335,410,-1.8596337803996825,Hairdresser Lugano
1,339,339,411,-1.8596337803996825,Hairdresser Lugano
1,353,353,412,-1.8596337803996825,Hairdresser Lugano
1,365,365,413,-1.8596337803996825,Hairdresser Lugano
1,368,368,414,-1.8596337803996825,Hairdresser Lugano
1,382,382,415,-1.8596337803996825,Hairdresser Lugano
1,387,387,416,-1.8596337803996825,Hairdresser Lugano
1,395,395,417,-1.8596337803996825,Hairdresser Lugano
1,418,418,418,-1.8596337803996825,Hairdresser Lugano
1,434,434,419,-1.8596337803996825,Hairdresser Lugano
1,448,448,420,-1.8596337803996825,Hairdresser Lugano
1,449,449,421,-1.8596337803996825,Hairdresser Lugano
1,450,450,422,-1.8596337803996825,Hairdresser Lugano
1,458,458,423,-1.8596337803996825,Hairdresser Lugano
1,464,464,424,-1.8596337803996825,Hairdresser Lugano
1,477,477,425,-1.8596337803996825,Hairdresser Lugano
1,485,485,426,-1.8596337803996825,Hairdresser Lugano
1,490,490,427,-1.8596337803996825,Hairdresser Lugano
1,494,494,428,-1.8596337803996825,Hairdresser Lugano
1,502,502,429,-1.8596337803996825,Hairdresser Lugano
1,503,503,430,-1.8596337803996825,Hairdresser Lugano
1,536,536,431,-1.8596337803996825,Hairdresser Lugano
1,576,576,432,-1.8596337803996825,Hairdresser Lugano
1,591,591,433,-1.8596337803996825,Hairdresser Lugano
1,610,610,434,-1.8596337803996825,Hairdresser Lugano
1,631,631,435,-1.8596337803996825,Hairdresser Lugano
1,634,634,436,-1.8596337803996825,Hairdresser Lugano
1,645,645,437,-1.8596337803996825,Hairdresser Lugano
1,648,648,438,-1.8596337803996825,Hairdresser Lugano
1,664,664,439,-1.8596337803996825,Hairdresser Lugano
1,669,669,440,-1.8596337803996825,Hairdresser Lugano
1,672,672,441,-1.8596337803996825,Hairdresser Lugano
1,695,695,442,-1.8596337803996825,Hairdresser Lugano
1,711,711,443,-1.8596337803996825,Hairdresser Lugano
1,717,717,444,-1.8596337803996825,Hairdresser Lugano
1,718,718,445,-1.8596337803996825,Hairdresser Lugano
1,720,720,446,-1.8596337803996825,Hairdresser Lugano
1,722,722,447,-1.8596337803996825,Hairdresser Lugano
1,731,731,448,-1.8596337803996825,Hairdresser Lugano
1,741,741,449,-1.8596337803996825,Hairdresser Lugano
1,760,760,450,-1.8596337803996825,Hairdresser Lugano
1,770,770,451,-1.8596337803996825,Hairdresser Lugano
1,787,787,452,-1.8596337803996825,Hairdresser Lugano
1,812,812,453,-1.8596337803996825,Hairdresser Lugano
1,822,822,454,-1.8596337803996825,Hairdresser Lugano
1,824,824,455,-1.8596337803996825,Hairdresser Lugano
1,825,825,456,-1.8596337803996825,Hairdresser Lugano
1,832,832,457,-1.8596337803996825,Hairdresser Lugano
1,838,838,458,-1.8596337803996825,Hairdresser Lugano
1,851,851,459,-1.8596337803996825,Hairdresser Lugano
1,872,872,460,-1.8596337803996825,Hairdresser Lugano
1,887,887,461,-1.8596337803996825,Hairdresser Lugano
1,891,891,462,-1.8596337803996825,Hairdresser Lugano
1,896,896,463,-1.8596337803996825,Hairdresser Lugano
1,912,912,464,-1.8596337803996825,Hairdresser Lugano
1,928,928,465,-1.8596337803996825,Hairdresser Lugano
1,938,938,466,-1.8596337803996825,Hairdresser Lugano
1,950,950,467,-1.8596337803996825,Hairdresser Lugano
1,951,951,468,-1.8596337803996825,Hairdresser Lugano
1,952,952,469,-1.8596337803996825,Hairdresser Lugano
1,957,957,470,-1.8596337803996825,Hairdresser Lugano
1,970,970,471,-1.8596337803996825,Hairdresser Lugano
1,982,982,472,-1.8596337803996825,Hairdresser Lugano
1,983,983,473,-1.8596337803996825,Hairdresser Lugano
1,984,984,474,-1.8596337803996825,Hairdresser Lugano
1,996,996,475,-1.8596337803996825,Hairdresser Lugano
